forecast_initialization_time,valid_time,lead_day,latitude,longitude,region_id,region_name,variable,forecast_value,observation_value,ensemble_spread,pressure_tendency,cape,humidity,wind_shear,rapid_change_index,data_quality,model_identifier,ensemble_member,data_mode
2024-01-01 00:00:00+00:00,2024-01-02 00:00:00+00:00,1,23.2991,88.5694,WB,West Bengal,precipitation,7.058690510018262,4.586113426180019,0.3783784667596863,-1.2386403278079507,574.0458652954339,48.44577996299975,7.52266771335229,0.21634974863137166,0.9130370578913355,synthetic_nwp_v1,,synthetic
2024-01-01 00:00:00+00:00,2024-01-02 00:00:00+00:00,1,23.2991,88.5694,WB,West Bengal,temperature_2m,26.5196057872083,26.282910670879158,0.3783784667596863,-1.2386403278079507,574.0458652954339,48.44577996299975,7.52266771335229,0.21634974863137166,0.960443270092298,synthetic_nwp_v1,,synthetic
2024-01-01 00:00:00+00:00,2024-01-02 00:00:00+00:00,1,23.2991,88.5694,WB,West Bengal,wind_speed,4.911527438578004,4.41824088229221,0.3783784667596863,-1.2386403278079507,574.0458652954339,48.44577996299975,7.52266771335229,0.21634974863137166,0.9977096367156767,synthetic_nwp_v1,,synthetic
2024-01-01 00:00:00+00:00,2024-01-03 00:00:00+00:00,2,23.2991,88.5694,WB,West Bengal,precipitation,6.247783245540149,2.512505230382531,0.46045701885260815,-1.1234886051402033,32.15031393848949,40.53706108160336,3.6588529657882467,0.11386057739812433,0.9132573871040446,synthetic_nwp_v1,,synthetic
2024-01-01 00:00:00+00:00,2024-01-03 00:00:00+00:00,2,23.2991,88.5694,WB,West Bengal,temperature_2m,26.131765386761007,25.941225187938866,0.46045701885260815,-1.1234886051402033,32.15031393848949,40.53706108160336,3.6588529657882467,0.11386057739812433,0.9315938430457402,synthetic_nwp_v1,,synthetic
2024-01-01 00:00:00+00:00,2024-01-03 00:00:00+00:00,2,23.2991,88.5694,WB,West Bengal,wind_speed,4.915429583281713,4.196033582694503,0.46045701885260815,-1.1234886051402033,32.15031393848949,40.53706108160336,3.6588529657882467,0.11386057739812433,0.9881717294425812,synthetic_nwp_v1,,synthetic
2024-01-01 00:00:00+00:00,2024-01-04 00:00:00+00:00,3,23.2991,88.5694,WB,West Bengal,precipitation,8.023009018374164,5.660258040753303,0.5643460388105586,-0.3076463627072716,658.1606688776496,38.6107189601031,4.700280398602348,0.2159647328081031,0.9995723050647605,synthetic_nwp_v1,,synthetic
2024-01-01 00:00:00+00:00,2024-01-04 00:00:00+00:00,3,23.2991,88.5694,WB,West Bengal,temperature_2m,27.8153719503175,27.341296036833842,0.5643460388105586,-0.3076463627072716,658.1606688776496,38.6107189601031,4.700280398602348,0.2159647328081031,0.8865601673682205,synthetic_nwp_v1,,synthetic
2024-01-01 00:00:00+00:00,2024-01-04 00:00:00+00:00,3,23.2991,88.5694,WB,West Bengal,wind_speed,4.329168272724523,5.3330858519659365,0.5643460388105586,-0.3076463627072716,658.1606688776496,38.6107189601031,4.700280398602348,0.2159647328081031,0.9170451691845475,synthetic_nwp_v1,,synthetic
2024-01-01 00:00:00+00:00,2024-01-05 00:00:00+00:00,4,23.2991,88.5694,WB,West Bengal,precipitation,7.39918153925597,13.956173071259663,0.7932563521455684,-0.7145393675704796,705.4203295442728,58.5227382901519,7.77675307490334,0.40391981786990555,0.9518070528788846,synthetic_nwp_v1,,synthetic
2024-01-01 00:00:00+00:00,2024-01-05 00:00:00+00:00,4,23.2991,88.5694,WB,West Bengal,temperature_2m,27.068299339056257,26.67247598109611,0.7932563521455684,-0.7145393675704796,705.4203295442728,58.5227382901519,7.77675307490334,0.40391981786990555,0.9766163187870003,synthetic_nwp_v1,,synthetic
2024-01-01 00:00:00+00:00,2024-01-05 00:00:00+00:00,4,23.2991,88.5694,WB,West Bengal,wind_speed,6.434100813560165,6.508324155367297,0.7932563521455684,-0.7145393675704796,705.4203295442728,58.5227382901519,7.77675307490334,0.40391981786990555,0.9151570080414503,synthetic_nwp_v1,,synthetic
2024-01-01 00:00:00+00:00,2024-01-06 00:00:00+00:00,5,23.2991,88.5694,WB,West Bengal,precipitation,12.701885685787621,9.453621229483257,1.0046736653067765,-3.290411852713258,1022.3611939521006,57.73417797786773,9.822879480552286,0.5007572172089267,0.9177183554444623,synthetic_nwp_v1,,synthetic
2024-01-01 00:00:00+00:00,2024-01-06 00:00:00+00:00,5,23.2991,88.5694,WB,West Bengal,temperature_2m,25.755228491362203,25.891857200586248,1.0046736653067765,-3.290411852713258,1022.3611939521006,57.73417797786773,9.822879480552286,0.5007572172089267,0.8880926719710431,synthetic_nwp_v1,,synthetic
